Soil Type,Soil Moisture (%),Temperature (°C),Rainfall (mm),Humidity (%),Seed Type,Depth (inches)
loamy,31.94,18.65,6.14,31.56,sunflower,1.95
sandy,17.45,-15.23,2.64,13.9,maize,3.59
loamy,67.84,41.15,14.74,97.12,cotton,1.22
loamy,60.94,17.39,24.0,72.08,barley,2.04
clay,91.52,25.15,20.56,85.54,soybean,1.42
sandy,61.34,30.77,1.66,65.58,wheat,1.19
sandy,96.6,3.53,27.15,12.96,soybean,1.36
clay,85.04,41.21,22.48,98.87,cotton,1.13
sandy,99.19,6.05,22.42,39.69,maize,4.8
clay,78.14,34.09,21.31,91.79,cotton,1.2
sandy,0.98,-9.23,3.61,13.45,maize,3.88
loamy,41.51,42.87,27.8,3.63,barley,2.4
sandy,2.18,40.91,20.74,95.25,wheat,1.46
sandy,56.71,25.5,12.15,48.24,soybean,1.36
clay,32.72,-11.34,5.26,81.49,barley,2.09
sandy,4.29,-21.7,3.9,25.88,maize,3.39
loamy,54.91,38.49,22.46,75.47,barley,2.96
sandy,2.18,12.93,3.97,9.69,peanuts,4.2
loamy,70.64,37.52,14.79,80.4,carrot,1.0
loamy,30.77,35.99,9.21,67.83,cotton,1.18
sandy,1.67,19.8,2.46,78.86,sunflower,1.52
clay,82.05,43.96,24.39,64.3,wheat,1.01
loamy,44.91,23.86,5.58,33.28,rice,1.94
sandy,2.42,6.67,2.22,15.21,maize,3.94
clay,20.79,12.8,17.92,60.53,rice,2.05
clay,23.27,-12.26,29.78,64.24,sunflower,2.71
loamy,60.94,26.67,23.98,81.41,cotton,1.39
sandy,13.45,19.79,10.1,80.59,soybean,1.11
loamy,72.75,28.74,18.23,93.11,wheat,1.44
sandy,68.94,16.27,2.11,21.37,cotton,1.11
loamy,91.82,-6.54,17.04,89.92,peanuts,3.58
clay,98.82,32.08,22.86,75.24,corn,2.05
loamy,93.62,16.63,25.45,81.23,wheat,1.16
sandy,82.4,-4.89,21.06,8.06,barley,2.54
loamy,31.72,22.55,7.5,37.48,corn,1.72
sandy,12.16,-2.22,1.48,39.54,peanuts,3.77
clay,79.77,39.98,13.9,70.59,carrot,1.14
sandy,5.85,-12.95,18.29,50.88,soybean,1.02
loamy,49.8,22.17,8.15,34.71,sunflower,1.82
loamy,65.23,29.78,11.4,84.59,cotton,1.1
clay,89.71,25.83,16.9,85.03,wheat,1.04
clay,1.76,22.38,29.68,18.09,cotton,1.31
loamy,35.71,22.59,5.65,46.63,sunflower,2.45
loamy,37.33,16.38,5.34,41.93,rice,1.88
clay,97.6,34.43,18.03,81.53,wheat,1.16
loamy,44.35,36.52,27.83,16.99,sunflower,1.57
clay,13.86,20.83,5.52,16.89,wheat,1.39
clay,3.73,-9.53,15.86,47.64,wheat,1.37
clay,77.01,38.31,7.9,65.5,rice,2.38
sandy,3.66,-13.51,4.12,9.26,maize,3.56
clay,26.49,-13.09,11.16,49.3,rice,2.36
loamy,31.57,20.53,8.87,55.33,corn,2.13
sandy,28.9,-12.97,1.82,12.35,beans,3.61
loamy,73.14,29.4,13.79,80.95,wheat,1.22
sandy,21.0,-5.02,0.79,5.83,peanuts,3.41
sandy,5.15,-14.66,2.02,9.19,maize,3.56
clay,23.17,21.27,18.46,61.34,peanuts,3.4
loamy,19.01,-11.02,20.41,43.51,rice,2.92
loamy,69.18,44.62,16.06,72.85,wheat,1.35
clay,90.74,34.19,13.14,44.36,carrot,1.18
loamy,80.22,20.71,16.05,71.72,barley,2.04
loamy,48.53,24.21,7.87,31.96,rice,2.56
loamy,11.69,16.58,28.54,92.02,sunflower,2.84
loamy,49.38,23.21,9.12,36.35,sunflower,1.53
clay,75.48,32.75,26.36,7.56,rice,2.36
sandy,0.22,-1.48,0.61,10.26,maize,4.11
sandy,94.89,3.51,17.53,20.86,carrot,1.07
loamy,31.18,24.87,7.31,53.51,barley,1.74
sandy,8.07,4.89,4.69,21.26,maize,3.24
loamy,14.97,11.16,25.7,40.22,wheat,1.12
sandy,67.03,34.38,29.87,99.53,peanuts,4.9
sandy,21.78,5.87,24.36,58.92,barley,1.71
loamy,54.71,-12.57,2.77,39.57,sunflower,2.28
sandy,83.14,-12.12,5.17,61.47,maize,4.46
loamy,56.8,3.14,0.31,10.74,corn,1.97
clay,71.76,35.58,20.52,82.89,carrot,1.24
sandy,24.91,23.83,27.89,59.33,carrot,1.28
loamy,12.65,-9.3,13.0,68.29,wheat,1.21
